Type;Date;Rate;Buy;Rent
Houses;2016-06-28;18,017;2.268,54;10,493
Houses;2016-06-29;18,013;2.268,017;10,493
Houses;2016-06-30;18,031;2.270,244;10,493
Houses;2016-07-01;18,052;2.269,212;10,475
Houses;2016-07-02;18,063;2.270,582;10,475
Houses;2016-07-03;18,077;2.272,423;10,475
Houses;2016-07-04;18,175;2.268,62;10,402
Houses;2016-07-05;19,455;2.428,436;10,402
Houses;2016-07-06;19,436;2.426,08;10,402
Houses;2016-07-07;19,484;2.432,076;10,402
Houses;2016-07-08;19,488;2.432,589;10,402
Houses;2016-07-09;19,476;2.431,027;10,402
Houses;2016-07-10;19,389;2.425,846;10,426
Houses;2016-07-11;19,076;2.424,835;10,593
Houses;2016-07-12;19,026;2.418,412;10,593
Houses;2016-07-13;18,942;2.407,721;10,593
Houses;2016-07-14;19,09;2.406,829;10,507
Houses;2016-07-15;19,159;2.415,579;10,507
Houses;2016-07-16;19,164;2.416,163;10,507
Houses;2016-07-17;19,168;2.416,679;10,507
Houses;2016-07-18;19,177;2.408,463;10,466
Houses;2016-07-19;18,864;2.390,701;10,561
Houses;2016-07-20;18,729;2.389,583;10,632
Houses;2016-07-21;18,733;2.390,194;10,632
Houses;2016-07-22;18,926;2.414,702;10,632
Houses;2016-07-23;18,935;2.415,885;10,632
Houses;2016-07-24;18,989;2.415,885;10,602
Houses;2016-07-25;18,504;2.417,615;10,888
Houses;2016-07-26;18,653;2.384,817;10,654
Houses;2016-07-27;19,116;2.390,696;10,422
Houses;2016-07-28;19,496;2.389,206;10,212
Houses;2016-07-29;19,37;2.390,42;10,284
Houses;2016-07-30;19,359;2.389,154;10,284
Houses;2016-07-31;19,359;2.389,154;10,284
Houses;2016-08-01;19,404;2.396,493;10,292
Houses;2016-08-02;19,383;2.393,927;10,292
Houses;2016-08-03;19,205;2.386,765;10,357
Houses;2016-08-04;19,309;2.381,349;10,277
Houses;2016-08-05;18,949;2.336,928;10,277
Houses;2016-08-06;18,769;2.311,437;10,262
Houses;2016-08-07;18,654;2.297,184;10,262
Houses;2016-08-08;18,668;2.298,91;10,262
Houses;2016-08-09;18,817;2.299,885;10,185
Houses;2016-08-10;18,733;2.292,035;10,196
Houses;2016-08-11;18,773;2.296,898;10,196
Houses;2016-08-12;18,346;2.296,161;10,43
Houses;2016-08-13;18,352;2.296,892;10,43
Houses;2016-08-14;18,353;2.291,156;10,403
Houses;2016-08-15;18,081;2.210,427;10,187
Houses;2016-08-16;18,184;2.213,766;10,145
Houses;2016-08-17;18,176;2.212,827;10,145
Houses;2016-08-18;18,205;2.216,424;10,145
Houses;2016-08-19;18,202;2.215,974;10,145
Houses;2016-08-20;18,313;2.229,567;10,145
Houses;2016-08-21;18,313;2.229,567;10,145
Houses;2016-08-22;18,351;2.234,105;10,145
Houses;2016-08-23;18,38;2.235,8;10,137
Houses;2016-08-24;18,405;2.238,804;10,137
Houses;2016-08-25;18,213;2.215,475;10,137
Flats;2016-06-28;24,281;2.321,719;7,968
Flats;2016-06-29;24,272;2.318,785;7,961
Flats;2016-06-30;24,274;2.323,894;7,978
Flats;2016-07-01;24,607;2.328,866;7,887
Flats;2016-07-02;24,619;2.329,04;7,884
Flats;2016-07-03;24,623;2.329,04;7,882
Flats;2016-07-04;24,65;2.329,28;7,874
Flats;2016-07-05;24,515;2.321,257;7,891
Flats;2016-07-06;24,537;2.311,417;7,85
Flats;2016-07-07;25,43;2.400,696;7,867
Flats;2016-07-08;25,468;2.399,764;7,852
Flats;2016-07-09;25,59;2.395,81;7,802
Flats;2016-07-10;25,58;2.395,682;7,805
Flats;2016-07-11;25,618;2.400,362;7,808
Flats;2016-07-12;25,636;2.393,491;7,78
Flats;2016-07-13;25,652;2.398,023;7,79
Flats;2016-07-14;25,796;2.409,707;7,784
Flats;2016-07-15;25,646;2.399,57;7,797
Flats;2016-07-16;25,69;2.391,672;7,758
Flats;2016-07-17;25,499;2.374,25;7,759
Flats;2016-07-18;25,43;2.373,06;7,776
Flats;2016-07-19;25,341;2.367,729;7,786
Flats;2016-07-20;25,369;2.368,645;7,781
Flats;2016-07-21;25,34;2.374,912;7,81
Flats;2016-07-22;25,406;2.368,878;7,77
Flats;2016-07-23;25,333;2.365,632;7,782
Flats;2016-07-24;25,316;2.363,676;7,781
Flats;2016-07-25;25,334;2.364,775;7,779
Flats;2016-07-26;25,317;2.358,649;7,764
Flats;2016-07-27;25,325;2.362,167;7,773
Flats;2016-07-28;25,337;2.362,081;7,769
Flats;2016-07-29;25,385;2.367,281;7,771
Flats;2016-07-30;25,409;2.370,677;7,775
Flats;2016-07-31;25,401;2.370,366;7,776
Flats;2016-08-01;25,588;2.389,884;7,783
Flats;2016-08-02;25,579;2.387,43;7,778
Flats;2016-08-03;25,573;2.385,089;7,772
Flats;2016-08-04;25,43;2.375,787;7,785
Flats;2016-08-05;25,337;2.371,84;7,801
Flats;2016-08-06;25,28;2.370,225;7,813
Flats;2016-08-07;25,286;2.370,256;7,812
Flats;2016-08-08;25,271;2.372,179;7,823
Flats;2016-08-09;25,237;2.368,135;7,82
Flats;2016-08-10;25,292;2.373,456;7,82
Flats;2016-08-11;25,19;2.372,461;7,848
Flats;2016-08-12;24,646;2.317,281;7,835
Flats;2016-08-13;24,626;2.315,272;7,835
Flats;2016-08-14;24,615;2.314,666;7,836
Flats;2016-08-15;24,687;2.313,129;7,808
Flats;2016-08-16;24,626;2.311,628;7,823
Flats;2016-08-17;24,634;2.306,701;7,803
Flats;2016-08-18;24,712;2.316,659;7,812
Flats;2016-08-19;24,859;2.331,699;7,816
Flats;2016-08-20;24,922;2.336,623;7,813
Flats;2016-08-21;24,918;2.336,138;7,813
Flats;2016-08-22;24,903;2.334,131;7,811
Flats;2016-08-23;24,892;2.332,362;7,808
Flats;2016-08-24;24,918;2.332,489;7,801
Flats;2016-08-25;24,991;2.341,141;7,807
