Type;Date;Rate;Buy;Rent
Houses;2016-06-28;35,523;7.149,687;16,772
Houses;2016-06-29;35,382;7.141,599;16,82
Houses;2016-06-30;35,506;7.100,252;16,665
Houses;2016-07-01;35,665;7.118,03;16,632
Houses;2016-07-02;35,685;7.125,997;16,641
Houses;2016-07-03;35,932;7.110,588;16,491
Houses;2016-07-04;36,001;7.114,932;16,469
Houses;2016-07-05;36,089;7.133,832;16,473
Houses;2016-07-06;35,886;7.102,299;16,493
Houses;2016-07-07;35,508;7.060,517;16,57
Houses;2016-07-08;35,295;7.048,221;16,641
Houses;2016-07-09;35,023;7.019,855;16,703
Houses;2016-07-10;34,976;7.010,477;16,703
Houses;2016-07-11;35,076;7.014,391;16,665
Houses;2016-07-12;34,981;7.013,804;16,708
Houses;2016-07-13;34,939;6.999,637;16,695
Houses;2016-07-14;34,487;6.974,895;16,854
Houses;2016-07-15;34,683;6.976,211;16,762
Houses;2016-07-16;34,553;6.971,434;16,814
Houses;2016-07-17;34,693;6.971,434;16,746
Houses;2016-07-18;34,665;6.985,217;16,792
Houses;2016-07-19;34,724;7.013,723;16,832
Houses;2016-07-20;34,696;7.001,529;16,816
Houses;2016-07-21;34,879;7.016,2;16,763
Houses;2016-07-22;34,887;7.017,162;16,762
Houses;2016-07-23;34,903;7.019,838;16,76
Houses;2016-07-24;34,83;7.010,14;16,772
Houses;2016-07-25;34,664;6.964,45;16,743
Houses;2016-07-26;34,296;6.969,253;16,934
Houses;2016-07-27;34,522;7.009,425;16,92
Houses;2016-07-28;34,599;7.019,172;16,906
Houses;2016-07-29;34,118;6.937,332;16,944
Houses;2016-07-30;33,968;6.922,103;16,982
Houses;2016-07-31;34,085;6.930,592;16,945
Houses;2016-08-01;34,3;6.975,563;16,948
Houses;2016-08-02;34,223;6.906,656;16,818
Houses;2016-08-03;34,353;6.928,106;16,806
Houses;2016-08-04;33,865;6.871,394;16,909
Houses;2016-08-05;33,495;6.824,166;16,978
Houses;2016-08-06;33,553;6.824,166;16,949
Houses;2016-08-07;33,552;6.835,234;16,977
Houses;2016-08-08;33,583;6.844,753;16,985
Houses;2016-08-09;33,512;6.872,349;17,089
Houses;2016-08-10;33,586;6.884,125;17,081
Houses;2016-08-11;33,499;6.885,68;17,129
Houses;2016-08-12;33,499;6.881,462;17,118
Houses;2016-08-13;33,436;6.941,37;17,3
Houses;2016-08-14;33,728;6.959,367;17,195
Houses;2016-08-15;33,377;7.025,992;17,542
Houses;2016-08-16;33,916;7.039,015;17,295
Houses;2016-08-17;33,809;7.049,648;17,376
Houses;2016-08-18;33,836;7.043,046;17,346
Houses;2016-08-19;33,799;7.035,263;17,346
Houses;2016-08-20;33,873;7.052,767;17,351
Houses;2016-08-21;33,824;7.052,767;17,376
Houses;2016-08-22;33,684;7.029,159;17,39
Houses;2016-08-23;33,635;7.050,703;17,469
Houses;2016-08-24;33,703;7.072,594;17,487
Houses;2016-08-25;33,517;7.074,769;17,59
Flats;2016-06-28;29,828;7.106,72;19,855
Flats;2016-06-29;29,78;7.110,168;19,896
Flats;2016-06-30;29,655;7.085,075;19,91
Flats;2016-07-01;29,297;7.043,571;20,035
Flats;2016-07-02;29,379;7.063,263;20,035
Flats;2016-07-03;29,839;7.069,861;19,744
Flats;2016-07-04;29,936;7.057,628;19,646
Flats;2016-07-05;29,882;7.113,666;19,839
Flats;2016-07-06;29,387;7.101,669;20,139
Flats;2016-07-07;29,826;7.209,826;20,144
Flats;2016-07-08;29,713;7.207,036;20,213
Flats;2016-07-09;29,725;7.199,656;20,184
Flats;2016-07-10;29,833;7.201,758;20,117
Flats;2016-07-11;29,644;7.199,273;20,238
Flats;2016-07-12;29,795;7.233,864;20,232
Flats;2016-07-13;29,824;7.221,913;20,18
Flats;2016-07-14;29,825;7.228,571;20,197
